name,operator,line,ridership_2022,S12_001g,S12_050,S12_051,S12_053,lon,lat
みどり中街,スカイレールサービス,広島短距離交通瀬野線,169,007972,1,1,169,132.595015,34.42765
みどり中央,スカイレールサービス,広島短距離交通瀬野線,928,007968,1,1,928,132.589605,34.43024
みどり口,スカイレールサービス,広島短距離交通瀬野線,1080,007978,1,1,1080,132.596315,34.422325
いよ立花,伊予鉄道,横河原線,1846,008784,1,1,1846,132.772955,33.827825000000004
久米,伊予鉄道,横河原線,2156,008801,1,1,2156,132.80400500000002,33.816230000000004
福音寺,伊予鉄道,横河原線,1613,008791,1,1,1613,132.7889,33.822535
横河原,伊予鉄道,横河原線,1086,008812,1,1,1086,132.88422,33.80342
牛渕,伊予鉄道,横河原線,209,008821,1,1,209,132.856175,33.795204999999996
愛大医学部南口,伊予鉄道,横河原線,1192,008816,1,1,1192,132.87895,33.798095
牛渕団地前,伊予鉄道,横河原線,774,008818,1,1,774,132.84625499999999,33.797709999999995
平井,伊予鉄道,横河原線,833,008805,1,1,833,132.82868000000002,33.808710000000005
田窪,伊予鉄道,横河原線,662,008824,1,1,662,132.865735,33.79275
鷹ノ子,伊予鉄道,横河原線,851,008802,1,1,851,132.815345,33.812525
松山市,伊予鉄道,横河原線,,008773,2,1,,132.76184999999998,33.83563
石手川公園,伊予鉄道,横河原線,481,008780,1,1,481,132.76933,33.831315000000004
北久米,伊予鉄道,横河原線,1160,008795,1,1,1160,132.798685,33.81927
見奈良,伊予鉄道,横河原線,615,008823,1,1,615,132.87367666666668,33.79304666666667
梅本,伊予鉄道,横河原線,1350,008813,1,1,1350,132.83902999999998,33.80122
南堀端,伊予鉄道,花園線,,008768,2,1,,132.761255,33.839439999999996
松山市駅,伊予鉄道,花園線,6541,008772,1,1,6541,132.76286,33.836110000000005
松山市,伊予鉄道,郡中線,,008773,2,1,,132.76184999999998,33.83563
余戸,伊予鉄道,郡中線,2140,008800,1,1,2140,132.733905,33.816255
土橋,伊予鉄道,郡中線,923,008777,1,1,923,132.75597,33.83233
岡田,伊予鉄道,郡中線,854,008815,1,1,854,132.72436,33.799165
鎌田,伊予鉄道,郡中線,951,008803,1,1,951,132.7299,33.81012
古泉,伊予鉄道,郡中線,2121,008825,1,1,2121,132.71711499999998,33.792485
